Category,Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Afro,795HmjjJWGQUMfL3foScIr,Mama,0.721,0.435,10.0,-9.476,1.0,0.0438,0.872,0.000104,0.108,0.944,116.865
Afro,4CleTVckv87HCeEpj05X52,Kua Buaru,0.714,0.753,2.0,-7.721,1.0,0.0534,0.206,4.77e-05,0.119,0.809,109.939
Afro,1uC1ABzL9eYbLhASZAiT4r,Die Lig,0.525,0.559,5.0,-7.894,1.0,0.0369,0.423,6.09e-05,0.109,0.238,159.963
Afro,7K7JxiW7VcnJexqPaAY9Bd,Terapie Vir Nou,0.552,0.636,11.0,-10.62,1.0,0.0667,0.0109,3.43e-06,0.127,0.579,169.982
Afro,1lJ44Qfd4jmcpxzUMRaGoU,Vakansie Vir My Siel,0.58,0.626,9.0,-7.845,1.0,0.027,0.0254,0.00113,0.111,0.294,146.028
Afro,080JBnOECwq62d9KOSoYFD,Shadow Fiend,0.3,0.858,10.0,-6.673,1.0,0.0535,0.0014,0.00462,0.101,0.299,179.896
Afro,3boAIpm9pD0KF6IEJQHjBX,No Trouble,0.685,0.519,1.0,-7.912,0.0,0.122,0.873,0.00369,0.0865,0.544,163.657
Afro,0gDyskuhux7JfUcGzn0gY9,Olorun Agbaye - You Are Mighty,0.345,0.698,10.0,-6.186,1.0,0.0465,0.116,1.49e-06,0.348,0.188,123.922
Afro,1zyQByOXDyQlFYzqTuax5l,Obinigwe,0.365,0.221,7.0,-10.402,1.0,0.0417,0.812,1.9e-06,0.0834,0.188,95.605
Afro,4WDoX23maQicnPqtkXfDmo,Your Baby (Paruto Sessions),0.559,0.351,2.0,-11.271,0.0,0.0356,0.95,0.0128,0.0945,0.442,102.707
Afro,2dMDbU8IYPSltZayJLQ9Mb,B'Ola - Honour,0.303,0.555,9.0,-4.734,1.0,0.0323,0.736,0.0,0.0719,0.284,148.166
Afro,4BdSQteqYNDGU8oD487KEU,Miracle No Dey Tire Jesus,0.86,0.78,9.0,-6.248,1.0,0.119,0.039,0.000532,0.144,0.595,120.034
Afro,7lu3WaqWNpyipOU14owmub,Wonder,0.682,0.731,9.0,-4.929,1.0,0.0506,0.294,0.0,0.223,0.533,125.07
Afro,0gsd7GzrNK9f1sDCWp6TUh,TOBECHUKWU,0.353,0.716,10.0,-6.256,1.0,0.0758,0.382,0.0,0.146,0.666,74.631
Afro,3VACsP3SHXxGbpvSEd5KkR,Way Maker,0.587,0.629,11.0,-2.57,1.0,0.0324,0.676,0.0,0.159,0.265,131.964
