id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genres
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,0.139,0.714,0.761,0.00035,5,0.241,-4.596,0,0.0427,168.022,0.906,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
2zdHRQTOBDk8mM8xBzziFh,Todo o Nada,0.37,0.648,0.795,0.0,4,0.133,-5.188,1,0.21,85.236,0.1,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino', 'pop reggaeton', 'pop venezolano', 'trap latino', 'urbano latino']"
2ZWBNTg6Mn6NQkkq4gVec1,Discoteca,0.463,0.736,0.683,0.0,0,0.186,-5.418,0,0.105,85.908,0.441,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino', 'latin hip hop', 'reggaeton', 'trap latino', 'urbano latino', 'argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
4MZSqgwlE71CWZ6qQ3gkKm,<3,0.602,0.631,0.665,1.7e-06,10,0.152,-7.589,0,0.229,80.353,0.634,"['reggaeton', 'trap latino', 'urbano latino']"
3bDRMfygdJbTDbsdmzc1PP,Dilema,0.153,0.527,0.562,0.0,9,0.232,-6.623,0,0.0331,119.861,0.188,"['reggaeton', 'trap latino', 'urbano latino']"
1ESyXyXxZmII2sXhMVpk9D,Bésame,0.0961,0.789,0.752,0.0,0,0.0888,-4.114,1,0.0364,139.969,0.902,"['latin pop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
7iwJOi3hlMqZt6pj1sQOBj,VISTA AL MAR,0.803,0.759,0.561,0.121,0,0.101,-5.643,0,0.131,104.915,0.491,"['rap canario', 'trap latino', 'urbano latino']"
4o5kWgO8DVkEXO54fdXR3l,Nosotros,0.189,0.663,0.542,0.00201,0,0.127,-5.875,1,0.058,154.994,0.0993,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
5B60XFKzm8WsJTdVyt4u4I,Luces De Neón,0.0865,0.747,0.619,2.03e-05,3,0.103,-6.009,1,0.0588,94.98,0.567,"['reggaeton', 'trap latino', 'urbano latino']"
5z90U0zUS8ihOcVkCyu5JF,Oh Mi Amore,0.354,0.667,0.832,4.61e-06,10,0.0881,-6.25,0,0.0909,129.975,0.508,"['drill espanol', 'flamenco urbano', 'rap espanol']"
